Symbiont accepted name;Host accepted name;Ocean origin;Region origin;Country origin
Amoebophrya ceratii-Clade-22;Cochlodinium polykrikoides;Sea of Japan;Yeosu;South Korea
Amoebophrya ceratii-species complex;Akashiwo sanguinea;Pacific;Santa Cruz Wharf - Monterey Bay;
Amoebophrya ceratii-species complex;Dinophysis norvegica;North Sea;;
Amoebophrya ceratii-Clade-1;Heterocapsa rotundata;English Channel;Penzé estuary;France
Amoebophrya ceratii-Clade-1;Alexandrium minutum;English Channel;Penzé estuary;France
Amoebophrya ceratii-Clade-2;Scrippsiella trochoidea-species complex;English Channel;Penzé estuary;France
Amoebophrya ceratii-Clade-14;Scrippsiella trochoidea-species complex;English Channel;Penzé estuary;France
Amoebophrya ceratii-Clade-14;Heterocapsa rotundata;English Channel;Penzé estuary;France
Amoebophrya ceratii-Clade-14;Heterocapsa triquetra;English Channel;Penzé estuary;France
Amoebophrya ceratii-species complex;Prorocentrum micans;Mediterranean Sea;Thau Lagoon;France
Amoebophrya ceratii-species complex;Protoperidinium sp.;Mediterranean Sea;Thau Lagoon;France
Amoebophrya ceratii-species complex;Scrippsiella trochoidea-species complex;Mediterranean Sea;Thau Lagoon;France
Amoebophrya ceratii-Clade-4;Dinophysis acuminata;Pacific;Reloncaví Fjord;Chile
Amoebophrya ceratii-Clade-4;Dinophysis acuminata;Pacific;Reloncaví Fjord;Chile
Amoebophrya ceratii-Clade-4;Dinophysis acuminata;Pacific;Reloncaví Fjord;Chile
Amoebophrya ceratii-Clade-4;Dinophysis acuminata;Pacific;Reloncaví Fjord;Chile
Amoebophrya ceratii-Clade-4;Dinophysis acuminata;Pacific;Reloncaví Fjord;Chile
Amoebophrya ceratii-Clade-4;Dinophysis acuminata;Pacific;Reloncaví Fjord;Chile
Amoebophrya ceratii-Clade-4;Phalacroma rotundatum;Pacific;Reloncaví Fjord;Chile
Amoebophrya ceratii-Clade-4;Phalacroma rotundatum;Pacific;Reloncaví Fjord;Chile
Amoebophrya ceratii-Clade-4;Phalacroma rotundatum;Pacific;Reloncaví Fjord;Chile
Amoebophrya ceratii-Clade-4;Phalacroma rotundatum;Pacific;Reloncaví Fjord;Chile
Amoebophrya ceratii-Clade-4;Phalacroma rotundatum;Pacific;Reloncaví Fjord;Chile
Amoebophrya ceratii-Clade-4;Prorocentrum micans;Pacific;Reloncaví Fjord;Chile
Amoebophrya ceratii-Clade-4;Prorocentrum micans;Pacific;Reloncaví Fjord;Chile
Amoebophrya ceratii-Clade-4;Prorocentrum micans;Pacific;Reloncaví Fjord;Chile
Parvilucifera sp.;Alexandrium pacificum;Mediterranean Sea;Catalunya;Spain
Parvilucifera sp.;Alexandrium minutum;Mediterranean Sea;Catalunya;Spain
Parvilucifera sp.;Alexandrium affine;Mediterranean Sea;Catalunya;Spain
